gene_id	C1	C2
1018	32	7
10180	147	258
10181	255	296
10184	87	13
10186	133	42
10188	320	111
10189	111	65
1019	209	281
10190	78	55
101927322	0	0
101927423	6	0
101927572	0	2
101927655	0	0
101927685	0	0
101928120	6	0
101928147	1	0
101928527	6	1
101928601	0	0
101928841	2	0
101928991	20	0
101929726	8	0
10193	153	71
10194	134	49
10195	86	47
10196	60	70
10197	364	227
10198	13	46
10199	94	131
102	166	466
1020	28	32
10200	28	71
10201	42	4
10202	1	0
10203	39	43
10204	151	44
10205	222	131
10206	86	33
10207	205	411
10208	50	47
10209	1427	282
1021	160	69
10210	113	358
10211	221	182
10212	109	64
10213	189	251
10215	0	0
102157402	24	26
10216	18	181
10217	297	78
10218	350	257
10219	0	0
1022	83	147
10220	24	2
10221	84	59
10223	0	0
10224	3	50
10225	3	1
10226	267	49
10227	86	52
10228	211	99
102288414	57	19
10229	47	15
10231	86	37
10232	29	19
10233	16	10
10234	11	2
10235	8	12
10236	424	382
10237	97	130
10238	263	85
10239	80	31
1024	35	41
10240	29	44
10241	284	323
10242	0	0
10243	60	170
10244	54	27
10245	60	26
10246	0	0
10247	24	19
10248	74	28
10249	9	8
1025	159	92
10250	208	420
10251	14	2
10252	191	107
10253	78	145
10254	93	171
10256	59	59
10257	44	44
1026	1434	328
10260	53	131
10261	0	7
10262	241	101
10263	67	22
10265	42	37
10266	82	18
10267	21	9
10268	60	18
10269	170	190
1027	185	174
10270	125	107
10272	88	14
102723360	0	0
102723475	3	0
102723553	9	8
102723555	1	19
102723631	1	0
102723680	0	0
102723849	0	8
102724101	0	0
102724127	0	0
102724219	6	0
102724265	0	0
102724428	2079	264
102724560	4	3
102724594	0	101
102724631	0	0
102724843	6	0
102724951	6	0
10273	203	30
10274	168	353
10276	511	461
10277	258	474
10278	375	28
10279	17	5
1028	94	19
10280	179	79
102800317	35	60
10282	38	23
10283	77	88
10284	288	151
10285	63	77
10286	74	147
10287	24	8
10288	4	10
10289	63	31
1029	8	1
10290	53	17
10291	416	488
10293	10	14
10294	220	216
10295	186	125
10296	208	89
10297	4	3
10298	248	53
10299	355	580
103	674	1059
1030	275	51
10300	166	81
10302	35	22
10307	31	18
10308	30	93
10309	12	0
1031	47	27
10311	131	83
10312	94	43
10313	518	352
10314	396	216
10316	5	1
10317	25	0
10318	345	384
10319	41	68
1032	38	12
10320	10	3
10321	46	33
10322	69	66
10324	3	4
10325	33	23
10326	7	12
10327	153	103
10328	58	25
10329	37	46
1033	12	9
10330	86	67
10331	2	0
10333	10	33
103344718	106	346
10335	50	43
10336	210	71
10342	218	173
10343	7	7
10344	0	0
10345	4	3
10346	99	93
10347	71	27
10349	10	40
10350	11	53
10351	89	203
10352	42	52
1036	35	9
10360	46	36
10361	5	0
10362	282	116
10363	111	65
10365	215	63
10367	158	90
10370	262	259
10371	6	20
10376	1426	2790
10379	56	32
1038	0	3
10380	69	78
10381	76	215
10382	8	15
10383	1138	2135
10384	24	49
10385	37	40
10388	5	34
10389	12	17
1039	55	51
10390	50	57
10391	16	14
103910	1091	847
10392	48	39
10393	27	68
10395	124	170
10396	32	63
10397	2047	1965
10398	495	117
10399	3046	2624
104	124	55
1040	177	127
10400	117	42
10401	168	71
10402	39	21
10403	16	22
10404	70	75
10406	7	0
10408	1	0
10409	155	60
1041	2778	3158
10410	409	345
10411	66	38
10412	185	128
10413	530	499
10417	138	37
10418	143	86
10419	156	200
10420	81	66
10421	206	138
10422	205	84
10423	196	81
10424	288	89
10425	261	147
10426	102	84
10427	228	316
10428	76	114
1043	6	1
10430	190	102
10432	124	26
10434	203	117
10435	53	10
10436	50	18
10437	88	84
10438	36	40
10439	59	32
1044	1	0
10440	112	114
10443	200	273
10444	259	152
10445	124	70
10446	1	0
10447	147	199
10449	151	132
1045	0	0
10450	91	49
10451	405	215
10452	109	59
10454	98	29
10455	80	59
10456	129	185
10457	2814	2091
10458	332	183
10459	69	44
1046	0	0
10460	63	35
10461	28	54
10462	5	7
10463	201	245
10464	57	71
10465	33	28
10466	137	521
10467	137	30
10468	37	35
10469	71	108
1047	3	7
10471	70	21
10472	70	28
10473	125	14
10474	220	66
10475	92	40
10476	225	269
10477	214	132
10478	74	32
10479	70	105
1048	29	47
10480	271	321
10481	0	0
10482	333	263
10483	171	451
10484	176	428
10485	0	0
10486	19	27
10487	983	552
10488	95	50
10489	268	126
10490	132	81
104909134	19	0
10491	591	398
10492	550	652
10493	774	340
10494	192	89
10495	61	55
10497	280	312
10498	169	98
10499	211	381
105	0	0
1050	807	248
10500	47	43
10501	31	20
10505	28	11
10507	106	158
10509	248	124
1051	400	173
10512	549	833
10513	121	119
10514	218	182
10516	124	321
10518	37	23
10519	113	46
1052	145	7
10520	50	57
10521	1328	1328
10522	123	148
10523	147	111
10524	163	154
10525	287	334
10526	142	248
10527	412	559
10528	185	266
10529	299	241
1053	0	0
10531	242	313
10533	97	103
10534	52	21
10535	30	65
10536	72	31
10537	4	6
105372978	0	0
105373377	0	0
105375355	11	19
105377372	1	0
105378952	0	0
10538	1	2
10539	182	163
1054	209	41
10540	401	369
10541	294	674
10542	99	41
10544	103	100
10548	117	73
10549	72	75
10550	274	237
10551	20	8
10552	239	294
10553	111	79
10554	108	85
10555	390	80
10556	55	31
10557	50	22
10558	194	327
10559	58	75
1056	18	28
10560	78	78
10561	25	18
10562	1	1
10563	0	0
10564	288	938
10565	280	453
10566	2	0
10567	148	110
10568	29	26
10569	179	270
10570	1	2
10572	103	32
10573	117	39
10574	447	342
10575	416	367
10576	345	374
10577	268	591
10578	1	0
10579	587	770
1058	7	7
10580	531	342
10581	115	103
10584	0	0
10585	69	115
10586	0	0
10587	58	68
10588	22	23
10589	181	86
1059	405	73
10590	0	0
10591	69	36
10592	113	107
10594	922	3163
10595	6	2
10597	14	13
10598	206	261
10599	0	0
1060	74	205
10600	184	226
10602	129	28
10603	16	1
10605	203	320
10606	238	155
10607	145	58
10608	290	7
10609	38	21
10610	238	154
10611	356	260
10612	55	19
10613	140	121
10614	194	64
10615	50	60
10616	186	48
10617	163	91
10618	532	578
1062	28	95
10620	43	16
10621	38	18
10622	8	15
10623	64	90
10625	626	700
10626	234	199
10627	604	709
10628	1404	1076
10629	48	22
1063	93	144
10630	64	31
10631	979	1633
10632	361	608
10633	3	0
10634	257	47
10635	4	10
10636	103	14
10637	0	1
10640	153	210
10641	32	35
10642	0	0
10643	1	1
10644	28	36
10645	208	113
10647	382	166
10650	14	1
10651	93	85
10652	368	205
10653	945	642
10654	161	105
10655	0	0
10656	22	18
10657	430	303
10658	225	179
10659	78	48
1066	128	389
10660	1	0
10661	0	1
10663	1	3
10664	220	206
10665	0	1
10666	1	0
10667	36	46
10668	15	15
10669	8	3
10670	203	147
106707243	0	0
10671	92	87
10672	213	144
10673	2	2
10675	1	2
10677	10	4
10678	74	58
10681	43	20
10682	60	83
106821730	66	0
10683	0	4
10686	1	3
106865373	10	7
10687	4	1
1069	86	18
10690	3	0
10691	30	38
10692	2	1
10693	11	28
10694	294	346
10695	62	65
10699	13	22
107	12	10
1070	29	58
107080638	5	0
107080644	0	0
1071	7	1
10712	85	28
10713	140	127
10714	61	57
10715	0	1
10716	0	0
10717	35	46
10718	3	6
107181291	0	0
1072	1509	602
10720	27	93
10721	19	16
10723	220	101
10724	558	650
10725	225	547
10726	200	337
10728	413	375
107282092	70	514
1073	42	144
10730	435	575
107303344	39	45
10732	79	27
10733	22	26
10734	22	98
10735	341	588
10736	7	2
10738	0	1
10739	0	0
10741	173	37
10742	42	22
10743	248	358
10745	13	27
10746	278	215
10747	4	2
10749	1055	834
1075	313	609
10750	17	2
10752	126	217
10753	0	1
10755	585	122
10758	147	61
10761	0	0
10762	167	139
10763	166	166
10765	395	568
10766	534	139
10767	145	322
10768	346	361
10769	399	571
10771	307	351
10772	145	76
10773	36	31
10775	52	24
10776	395	126
10777	1	0
10780	32	30
10781	82	62
10782	69	58
10783	77	40
10785	24	12
10786	0	0
10787	796	1403
10788	61	77
10791	42	23
10793	45	83
10794	6	179
10795	58	60
10797	60	51
107983955	0	14
107984640	0	0
107984974	16	2
10799	11	12
108	58	53
1080	72	119
10800	2	5
10801	700	1115
10802	100	152
10803	1	0
10804	951	828
10806	58	146
10807	79	33
10808	125	146
10809	218	152
1081	40	51
10810	58	37
10811	17	3
10813	52	102
10814	2	0
10815	7	0
10817	12	10
10818	117	72
1082	0	0
10825	17	11
10826	111	50
10827	60	75
10838	52	11
10840	14	13
10841	0	0
10842	0	0
10844	209	127
10845	237	285
10846	2	3
10847	497	621
10848	790	212
10849	12	8
10850	34	38
10855	23	6
10856	190	139
10857	166	93
10858	1	2
10859	5	2
10861	5	2
10863	3	1
10864	0	0
10865	61	9
10867	251	64
10868	136	52
10869	323	139
1087	15	3
10870	4	0
10871	0	0
10873	22	16
10874	43	86
10875	87	119
10878	0	0
1088	2	0
10882	1	1
10884	53	64
10885	100	156
10886	0	0
10887	0	0
10888	1	0
1089	0	1
10890	492	217
10891	138	230
10892	144	169
10893	1	8
10894	31	23
10896	0	3
10897	104	104
10898	39	24
10899	177	76
109	182	162
10900	30	5
10901	91	186
10902	124	139
10903	33	31
10904	328	42
10905	221	339
10906	205	151
10907	113	53
10908	135	198
10910	68	102
10911	0	0
10912	52	4
10913	45	26
10914	376	427
10915	150	288
10916	413	209
10919	163	81
10920	98	75
10921	342	160
10922	154	33
10923	206	164
10924	120	163
10926	17	35
10927	304	66
10928	497	225
10929	232	77
10930	3	2
10933	544	811
10935	177	114
10936	8	11
10938	239	147
10939	340	670
10940	26	29
10941	2	12
10942	1	2
10943	74	59
10944	367	372
10945	280	191
10946	193	288
10947	68	17
10948	101	78
10949	491	118
10950	149	112
109504726	24	57
10951	189	26
10952	126	67
10953	56	23
10954	38	76
10955	548	486
10956	672	702
10957	239	386
10959	436	221
10960	217	264
10961	237	151
10962	18	6
10963	270	356
10964	23	14
10965	81	151
10966	68	32
10969	150	148
10970	405	250
109703458	58	3
10971	840	549
10972	648	711
10973	204	613
10974	524	197
10975	207	43
10978	41	32
10979	156	128
10980	196	144
10981	77	21
10982	244	99
10983	533	774
10985	419	626
10987	112	128
10988	437	462
10989	295	290
10990	7	21
10991	47	26
10992	661	573
10993	2	1
10994	292	143
10998	3	2
10999	254	167
11000	46	49
11001	3	4
11004	46	27
11005	1481	5704
11006	2	8
11007	124	10
11009	0	0
110091775	0	4
1101	16	6
11010	14	13
11011	149	181
110116772	13	18
11012	335	192
11013	3	1
11014	294	278
11015	38	30
11016	235	122
11017	59	98
11018	39	9
11019	26	17
1102	41	16
11020	27	24
11021	224	99
11022	13	15
11023	0	0
11024	0	0
11025	3	9
11027	4	2
1103	0	0
11030	67	46
11031	92	38
11033	17	8
11034	843	521
11035	25	7
11037	48	4
110384692	11	0
1104	111	41
11040	15	9
11041	48	13
11043	126	108
11044	135	61
11045	69	42
11046	37	41
11047	316	214
1105	165	323
11051	237	196
11052	188	152
11054	106	153
11056	127	133
11057	404	137
11059	334	509
110599563	113	68
110599564	25	1
110599588	2	0
1106	530	704
11060	230	149
11061	0	0
11062	26	10
11063	3	1
11064	69	82
11065	34	21
11066	43	13
11067	113	6
11068	23	5
11069	76	67
1107	539	606
11070	172	43
11072	265	62
11073	143	178
11074	0	0
11075	10	17
11076	173	8
11077	2	1
11078	310	382
11079	249	172
1108	807	1409
11080	77	57
110806298	10	0
11081	2	0
11082	1	0
11083	278	306
11086	0	1
11091	172	121
11092	50	9
11093	6	10
11094	68	4
11095	5	0
11096	49	48
11097	37	19
11098	271	102
11099	207	245
111	34	19
11100	863	560
11101	112	83
11102	22	38
11103	104	179
11104	58	47
11105	0	0
11107	17	47
11108	141	170
111089941	6	0
1111	22	26
11112	106	79
11113	39	87
11116	23	29
11117	56	14
11118	74	101
111188157	3	9
11119	58	70
1112	688	131
11120	71	75
11122	14	22
11123	67	11
11124	185	293
111240474	39	0
11126	1	2
11127	49	109
11128	91	212
11129	134	198
1113	2	0
11130	30	26
11131	3	2
11132	58	21
11133	21	11
11135	333	30
11136	1	0
11137	182	191
11138	180	130
1114	2	0
11140	428	408
11141	0	1
11142	58	24
11143	204	192
11144	5	11
11145	102	78
11146	22	45
11147	7	5
11148	2	0
11149	10	8
11151	27	22
11152	114	68
11153	12	3
11154	22	13
11155	6	5
11156	38	7
11157	20	33
11158	48	48
11159	30	25
1116	408	222
11160	193	228
11161	103	40
11162	8	10
11163	313	118
11164	139	144
11165	59	99
11166	173	115
11167	987	857
11168	77	252
11169	41	68
1117	43	31
11170	69	7
11171	349	336
11173	21	4
11174	3	9
11176	537	884
11177	276	582
11178	107	24
11179	53	41
1118	3	4
11180	216	139
11182	5	0
11183	194	353
11184	2	7
11185	23	11
11186	141	20
11187	1582	587
11188	455	241
11189	1	0
1119	42	21
11190	115	103
11193	63	68
11194	79	23
11196	111	124
11197	5	5
11198	400	533
112	228	114
1120	61	171
11200	18	23
11201	66	30
11202	199	93
1121	74	94
11211	242	70
11212	56	31
11213	34	22
11214	463	660
11215	191	231
11216	89	89
11217	215	32
11218	44	45
11219	24	5
1122	46	52
11221	30	40
11222	204	202
11223	17	10
11224	1457	1537
11226	82	44
11227	22	12
11228	41	29
1123	14	12
11230	32	3
11231	277	777
11232	11	13
11234	69	117
11235	82	186
11236	115	124
11237	124	6
11238	40	24
112398	135	45
112399	239	149
1124	26	26
11240	103	51
11243	128	55
11244	168	169
11245	25	10
112464	45	11
11247	68	15
112476	3	2
112479	41	38
11248	12	1
112483	47	41
112487	49	9
112495	69	49
11250	0	0
11251	0	0
11252	250	174
11253	187	217
11254	93	151
11255	0	0
112574	124	50
11258	152	78
11259	183	171
11260	302	367
112609	3	4
11261	396	252
112611	15	3
112616	36	16
11262	0	4
11264	114	22
11266	40	42
11267	145	121
11269	171	311
11270	14	16
112703	7	1
112714	1	0
11272	75	21
112724	88	66
11273	327	257
11274	13	17
11275	63	94
112752	23	65
112755	16	5
11276	134	235
11277	75	76
112770	76	66
11278	42	24
11279	141	31
1128	34	18
11280	1	5
112802	5964	9060
11281	3	0
112812	21	11
112817	9	1
11282	251	199
11283	1	1
11284	33	96
112840	27	7
112849	18	6
11285	50	16
112858	71	38
112869	29	29
112885	0	0
112936	337	106
112937	13	8
112939	252	46
112942	82	77
112950	191	80
112970	24	4
113	89	52
1130	213	884
113000	120	8
113026	162	110
11309	20	8
113091	0	0
1131	42	16
11311	124	78
113115	2	12
11313	183	71
113130	30	6
11314	2	2
113146	2723	23087
11315	251	586
11316	348	131
11317	0	0
113174	25	32
113177	8	4
113178	166	44
113179	28	5
11318	0	0
113189	36	17
11319	103	123
1132	8	5
11320	51	23
113201	129	151
11321	98	141
11322	105	103
113220	17	0
113230	15	3
113235	30	13
113246	300	163
11325	429	457
113251	104	194
11326	3	6
113263	43	40
113277	2	8
113278	22	29
11328	541	528
11329	164	147
1133	0	0
11330	2	0
11331	556	418
11332	117	132
11333	422	181
11334	61	18
11335	228	81
11336	134	101
11337	656	368
11338	445	90
11339	8	7
1134	0	2
11340	37	39
113402	46	52
11341	0	0
113419	233	65
11342	153	188
11343	613	222
11344	123	42
113444	103	26
11345	217	165
113451	9	3
113452	206	32
113457	0	1
11346	307	302
1135	7	3
113510	39	54
113540	3	0
1136	4	2
113612	29	5
113622	13	5
113655	31	8
113675	9	0
1137	0	1
113730	3	0
113763	35	1
113791	166	34
1138	1	1
113802	19	17
113828	78	27
113829	378	65
113835	0	0
113878	133	116
1139	1	0
114	53	51
1140	35	20
114034	16	19
114049	108	106
114088	27	16
1141	10	9
114112	23	64
114132	0	0
114134	12	17
114294	30	30
114299	3	1
1143	1	0
114327	41	55
1144	1	2
1145	3	8
114548	4	11
114569	468	256
114571	0	0
1146	0	1
114609	28	12
114625	79	18
114659	55	90
1147	65	240
114757	74	20
114769	9	34
114770	1	0
114771	38	59
114780	3	10
114781	90	67
114783	23	2
114784	6	17
114785	266	74
114786	0	1
114787	30	11
114788	0	0
114789	230	98
114790	97	65
114791	74	76
114792	0	0
114793	140	161
114794	3	3
114795	3	2
114798	0	0
114799	74	79
114800	22	7
114801	16	4
114803	110	118
114804	8	6
114805	2	9
114815	8	3
114818	76	23
114821	3	3
114822	37	17
114823	394	245
114825	68	42
114826	64	28
114827	2	5
114836	0	0
114876	219	302
114879	102	81
114880	90	71
114881	17	4
114882	237	664
114883	196	285
114884	68	61
114885	96	96
114897	96	8
114898	2	6
114899	29	17
1149	21	15
114900	0	0
114902	32	17
114904	56	5
114905	5	3
114907	210	145
114908	651	468
114926	72	41
114928	21	30
114932	156	31
114960	10	0
114971	121	25
114984	38	15
114987	28	7
114990	118	42
114991	157	31
115	102	98
115004	3	4
115019	26	19
115024	56	45
115098	152	121
115106	48	25
115111	2	7
115123	112	54
115196	25	10
1152	336	151
115201	38	35
115207	286	41
115209	17	36
115265	13	3
115273	3	1
115286	35	45
115290	52	12
115294	186	196
1153	588	699
115330	39	6
115350	0	0
115353	102	66
115361	57	51
115362	2	3
115399	26	4
1154	44	3
115416	41	16
115426	58	67
1155	126	45
115509	19	6
115548	101	155
115557	25	34
115560	13	11
115572	800	176
115584	0	2
115650	6	4
115677	35	61
115701	2	23
115703	52	18
115704	150	68
115708	67	11
115727	0	2
115749	5	7
115752	83	90
115761	5	1
1158	2	0
115811	4	3
115817	142	159
115825	136	63
115827	9	2
1159	125	279
115908	95	125
115939	111	29
115948	0	1
115950	15	13
115992	28	14
116	0	0
1160	25	17
116028	15	0
116039	19	9
116064	205	83
116068	32	39
116071	0	0
116092	80	51
116093	1	0
1161	23	51
116113	135	62
116115	36	107
116135	4	1
116138	246	154
116143	18	21
116150	159	139
116151	460	44
116154	2	3
116159	62	25
116173	1	0
116211	4	4
116224	70	36
116225	75	27
116228	79	76
116236	68	3
116238	43	35
116254	138	129
116285	6	7
1163	74	39
116328	1	2
116337	0	0
116362	68	64
116369	1	2
116372	2	0
116379	1	0
1164	28	22
116412	16	2
116441	30	9
116442	1	0
116443	3	0
116444	4	0
116447	80	60
116448	2	0
116449	1	1
116461	51	20
116496	268	181
116511	1	0
116519	0	0
116534	0	0
116535	42	5
116540	73	25
116541	66	19
116729	0	0
116832	27	8
116835	49	16
116840	105	95
116841	65	13
116842	0	0
116843	48	47
116844	2	1
116931	5	8
116966	0	5
116969	0	0
116983	408	143
116984	259	423
116985	291	210
116986	17	11
116987	161	193
116988	325	180
117	24	22
117143	47	38
117144	0	1
117145	51	10
117154	1	1
117155	7	15
117156	0	3
117157	0	0
117159	6150	9192
117166	5	0
117177	86	99
117178	105	117
117194	1	0
117195	3	1
117245	19	6
117246	166	280
117247	44	80
117248	39	24
117283	0	0
117289	7	15
1173	653	458
1174	122	57
1175	259	124
117531	1	1
117532	0	1
117581	46	11
117583	105	158
117584	69	45
1176	94	86
117608	35	30
117854	20	11
1179	0	0
118	643	527
1181	16	20
1182	422	321
1183	25	11
1184	59	25
118424	120	55
118426	40	24
118427	1	0
118429	81	53
118430	1805	2065
118442	1	0
118460	55	3
118461	0	0
118471	0	0
118472	37	36
118487	64	23
118490	2	2
118491	7	13
1185	66	30
1186	302	411
118611	7	8
118663	21	12
118672	17	4
1187	5	5
118738	1	0
118788	20	30
1188	0	3
118812	19	0
118813	105	39
118881	44	5
118924	33	58
118932	157	70
118980	19	8
118987	203	287
119	21	2
119016	48	396
119032	80	10
1191	683	882
1192	706	422
1193	19	24
119385	29	162
119391	37	47
119392	4	5
119395	0	0
119467	1	0
1195	223	288
119504	215	57
119548	105	69
119559	40	24
119587	54	42
1196	94	151
119694	0	2
119710	14	5
1198	140	100
12	644	723
120	272	236
1200	208	176
120065	0	2
120066	0	2
120071	124	52
1201	86	174
120103	49	32
120114	8	17
120224	52	23
120227	42	41
1203	78	48
120376	2	1
120379	1	3
120406	0	1
120425	3	7
120526	29	14
120534	41	34
1207	167	133
120787	1	0
120863	4	3
120892	54	130
1209	448	377
120939	0	0
121053	25	12
1211	284	182
1212	987	844
121214	116	53
121227	279	362
121256	1	4
121260	62	49
121268	2	3
121274	41	22
121278	0	0
1213	942	1517
121355	0	0
121391	2460	3114
121441	63	59
121457	30	9
1215	4	6
121504	2	25
121506	8	2
121512	115	178
121536	152	125
121549	4	0
121551	159	96
121601	1	2
121642	29	21
121643	0	0
121665	431	328
121793	4	2
122060	18	15
122402	1	2
122416	153	3
122481	14	26
122509	11	6
122525	11	3
122553	97	38
122616	26	10
122618	2	0
122622	18	12
122704	43	41
122769	24	11
122773	7	14
122786	476	329
122809	54	24
122830	80	52
122945	2	0
122953	144	45
122961	29	2
122970	11	3
123	135	135
1230	1	1
123016	54	78
123036	96	141
123041	2	4
123096	92	25
123099	131	27
123103	0	1
123169	86	88
1232	3	0
123207	47	20
123228	1	5
123263	26	41
123264	1	0
123283	44	32
1233	0	0
123355	57	42
1234	7	2
1235	12	0
123591	4	2
1236	2	0
123606	39	14
123688	5	8
1237	0	0
123720	67	89
123722	11	1
123745	221	145
123775	4	3
1238	7	5
123803	85	97
123811	91	27
123872	2	9
123876	0	0
123879	67	38
123904	2	0
123920	63	29
124	7	0
1240	34	10
124044	49	6
124045	11	1
124056	0	0
124093	2	1
1241	258	31
124152	45	24
124220	55	17
124222	83	14
124245	114	105
124359	22	15
1244	23	22
124401	30	15
124402	67	4
124404	0	1
124411	19	12
124446	173	90
124454	104	46
124460	11	0
124491	30	8
124512	55	24
124535	0	1
124540	129	92
124565	241	89
124583	142	126
